assists,bonus,clean_sheets,code,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,status,team,team_code,total_points,web_name,yellow_cards,player_type
8,15,13,84450,Granit,6.8,35,7,3,False,2992,48,0,0,0,4.1,0,0,Xhaka,a,1,ARS,153,Xhaka,4,MID
0,0,0,153256,Mohamed,0.0,2,0,4,False,111,41,0,0,0,1.2,0,0,Elneny,i,1,ARS,6,Elneny,0,MID
0,0,0,156074,Rob,0.2,13,1,5,False,562,42,0,0,0,1.5,0,0,Holding,a,1,ARS,21,Holding,0,DEF
0,6,11,167199,Thomas,1.4,28,3,6,False,2480,47,0,0,0,2.6,0,0,Partey,a,1,ARS,86,Partey,5,MID
8,30,13,184029,Martin,6.4,38,15,7,True,3132,69,0,0,0,5.7,0,0,Ødegaard,a,1,ARS,212,Ødegaard,4,MID
1,0,1,192895,Kieran,1.0,10,0,8,False,774,46,0,0,0,1.4,0,0,Tierney,a,1,ARS,37,Tierney,0,DEF
0,0,0,195735,Nicolas,0.0,0,0,9,False,0,53,0,0,0,0.0,0,0,Pépé,u,1,ARS,0,Pépé,0,MID
5,12,15,198869,Benjamin,3.4,35,2,10,True,3054,50,0,0,0,4.1,0,0,White,a,1,ARS,156,White,5,DEF
2,5,2,205533,Eddie,0.6,16,4,11,False,1071,63,0,0,0,2.1,0,0,Nketiah,a,1,ARS,63,Nketiah,3,FWD
2,0,0,209289,Emile,1.0,5,0,12,False,161,56,0,0,0,1.5,0,0,Smith Rowe,a,1,ARS,18,Smith Rowe,0,MID
12,19,12,223340,Bukayo,3.0,42,14,13,True,3183,80,0,1,0,5.3,0,0,Saka,d,1,ARS,202,Saka,6,MID
1,0,2,223723,Takehiro,0.0,11,0,14,False,651,42,0,0,0,1.5,0,0,Tomiyasu,i,1,ARS,32,Tomiyasu,2,DEF
0,9,14,225321,Aaron,4.6,43,0,15,False,3420,48,0,0,0,3.8,0,94,Ramsdale,a,1,ARS,143,Ramsdale,1,GKP
0,15,14,226597,Gabriel,3.4,43,3,16,False,3409,52,0,0,0,3.8,0,0,dos Santos Magalhães,a,1,ARS,146,Gabriel,5,DEF
0,0,0,437626,Nuno,0.0,0,0,17,False,0,45,0,0,0,0.0,0,0,Varela Tavares,u,1,ARS,0,Tavares,0,DEF
9,18,14,444145,Gabriel,1.6,33,15,19,True,2789,65,0,0,0,5.5,0,0,Martinelli Silva,i,1,ARS,198,Martinelli,3,MID
0,0,0,92371,Pablo,0.0,0,0,20,False,0,45,0,0,0,0.0,0,0,Marí Villar,u,1,ARS,0,Pablo Marí,0,DEF
0,0,0,198849,Lucas,0.0,0,0,22,False,0,45,0,0,0,0.0,0,0,Torreira di Pascua,u,1,ARS,0,Torreira,0,MID
3,5,1,200641,Reiss,0.8,3,3,23,False,202,47,0,0,0,3.8,0,0,Nelson,d,1,ARS,42,Nelson,0,MID
0,0,0,224068,Matt,0.0,0,0,24,False,0,38,0,0,0,0.0,0,0,Turner,a,1,ARS,0,Turner,0,GKP
2,2,2,438098,Fábio,0.4,5,1,25,False,500,56,0,0,0,1.8,0,0,Ferreira Vieira,a,1,ARS,40,Fábio Vieira,0,MID
1,14,12,462424,William,0.0,25,2,26,False,2415,49,1,0,0,4.3,0,0,Saliba,i,1,ARS,117,Saliba,4,DEF
