id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
1,232223,Folarin,Balogun,Balogun,ARS,FWD,d,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
2,58822,Cédric,Alves Soares,Cédric,ARS,DEF,a,False,0.0,10,1.2,223,0,0,0,3,0,0,0,0,0,0,0,40
3,153256,Mohamed,Elneny,M.Elneny,ARS,MID,a,False,0.0,6,1.2,111,0,0,0,2,0,0,0,0,0,0,0,45
4,438098,Fábio,Ferreira Vieira,Fábio Vieira,ARS,MID,a,False,0.0,40,1.8,500,1,2,2,5,0,0,0,0,0,0,2,55
5,226597,Gabriel,dos Santos Magalhães,Gabriel,ARS,DEF,a,False,0.0,146,3.8,3409,3,0,14,43,0,0,0,5,0,0,15,50
6,219847,Kai,Havertz,Havertz,ARS,MID,a,False,0.0,102,2.9,2565,7,1,9,31,0,0,0,5,0,0,13,75
7,156074,Rob,Holding,Holding,ARS,DEF,a,False,0.0,21,1.5,562,1,0,0,13,0,0,0,0,0,0,0,45
8,205651,Gabriel,Fernando de Jesus,G.Jesus,ARS,FWD,d,False,0.0,125,4.8,2064,11,7,9,23,0,0,0,6,0,0,17,80
9,85955,Jorge Luiz,Frello Filho,Jorginho,ARS,MID,d,False,0.0,79,2.5,2127,2,2,9,23,0,0,0,4,0,0,5,55
10,440854,Jakub,Kiwior,Kiwior,ARS,DEF,a,False,0.0,26,3.7,425,1,0,2,6,0,0,0,0,0,0,1,45
11,479683,Marcus,Oliveira Alencar,Marquinhos,ARS,MID,a,False,0.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,45
12,444145,Gabriel,Martinelli Silva,Martinelli,ARS,MID,a,False,0.0,198,5.5,2789,15,9,14,33,0,0,0,3,0,0,18,80
13,205533,Eddie,Nketiah,Nketiah,ARS,FWD,a,False,0.0,63,2.1,1071,4,2,2,16,0,0,0,3,0,0,5,55
14,184029,Martin,Ødegaard,Ødegaard,ARS,MID,a,False,0.0,212,5.7,3132,15,8,13,38,0,0,0,4,0,0,30,85
15,167199,Thomas,Partey,Thomas,ARS,MID,a,False,0.0,86,2.6,2480,3,0,11,28,0,0,0,5,0,0,6,50
16,195735,Nicolas,Pépé,Pepe,ARS,MID,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50
17,225321,Aaron,Ramsdale,Ramsdale,ARS,GKP,a,False,0.0,143,3.8,3420,0,0,14,43,0,0,0,1,0,94,9,50
18,115918,Rúnar Alex,Rúnarsson,Rúnarsson,ARS,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
19,223340,Bukayo,Saka,Saka,ARS,MID,a,False,0.0,202,5.3,3183,14,12,12,42,0,0,1,6,0,0,19,85
20,462424,William,Saliba,Saliba,ARS,DEF,a,False,0.0,117,4.3,2415,2,1,12,25,1,0,0,4,0,0,14,50
21,437742,Albert,Sambi Lokonga,Sambi,ARS,MID,a,False,0.0,23,1.5,728,0,0,2,8,0,0,0,2,0,0,0,50
22,209289,Emile,Smith Rowe,Smith Rowe,ARS,MID,a,False,0.0,18,1.5,161,0,2,0,5,0,0,0,0,0,0,0,55
23,437626,Nuno,Varela Tavares,Tavares,ARS,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
24,192895,Kieran,Tierney,Tierney,ARS,DEF,a,False,0.0,37,1.4,774,0,1,1,10,0,0,0,0,0,0,0,45
25,223723,Takehiro,Tomiyasu,Tomiyasu,ARS,DEF,a,False,0.0,32,1.5,651,0,1,2,11,0,0,0,2,0,0,0,45
